gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Adventitial Fibroblast	Airway Smooth Muscle	Alveolar Epithelial Type 1	Alveolar Epithelial Type 2	Alveolar Fibroblast	Artery	B	Basal	Basophil/Mast 1	Bronchial Vessel 1	CD4+ Memory/Effector T	CD4+ Naive T	CD8+ Memory/Effector T	CD8+ Naive T	Capillary	Capillary Aerocyte	Capillary Intermediate 1	Ciliated	Classical Monocyte	Club	Dendritic	Differentiating Basal	Fibromyocyte	Goblet	IGSF21+ Dendritic	Intermediate Monocyte	Ionocyte	Lipofibroblast	Lymphatic	Macrophage	Myeloid Dendritic Type 2	Myofibroblast	Natural Killer	Natural Killer T	Neuroendocrine	Neutrophil	Nonclassical Monocyte	Pericyte	Plasma	Plasmacytoid Dendritic	Proliferating NK/T	Signaling Alveolar Epithelial Type 2	Vascular Smooth Muscle	Vein
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	32.734	30.113	74.442	53.524	16.517	34.88	0.0	65.183	5.783	76.028	0.0	0.595	0.0	0.55	55.967	32.098	59.205	14.523	7.425	26.316	2.4	8.907	0.133	38.451	0.0	8.667	0.0	65.05	137.341	49.188	0.286	1.942	3.334	0.0	10.055	0.788	1.852	15.008	0.0	8.615	0.0	30.637	19.131	81.714
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	32.734	30.113	74.442	53.524	16.517	34.88	0.0	65.183	5.783	76.028	0.0	0.595	0.0	0.55	55.967	32.098	59.205	14.523	7.425	26.316	2.4	8.907	0.133	38.451	0.0	8.667	0.0	65.05	137.341	49.188	0.286	1.942	3.334	0.0	10.055	0.788	1.852	15.008	0.0	8.615	0.0	30.637	19.131	81.714
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	10.646	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.003	0.058	0.006	0.0	0.0	0.0	0.002	0.0	0.0	1.333	0.0	0.0	0.0	0.0	9.15	0.0	0.062	0.0	6.385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	3.167
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	12.848	22.211	986.736	418.789	135.486	31.685	0.14	62.85	26.326	5.83	0.96	0.008	0.0	13.413	14.007	7.773	18.068	53.445	0.0	160.55	58.2	32.256	148.267	31.485	0.0	82.0	0.0	0.0	0.0	1.594	113.429	347.25	9.072	0.0	711.236	1.619	5.63	1203.965	0.0	0.077	2.235	426.846	255.193	20.333
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	7.88	1.454	1.563	15.791	1.106	0.859	0.0	133.375	0.065	0.255	0.008	0.0	0.0	1.63	0.506	0.399	0.0	7.359	4.123	29.003	1.3	98.581	3.8	26.85	0.0	0.0	0.0	23.1	6.773	3.188	0.0	0.0	2.2	0.0	22.327	0.894	16.074	17.122	0.0	4.077	0.529	13.95	5.955	18.167
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.003	0.002	0.118	1.506	0.413	0.628	0.0	0.0	0.151	67.587	38.832	109.186	139.511	0.336	0.521	0.011	0.033	2.509	0.006	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.071	75.135	0.0	0.221	2.593	0.012	0.0	0.0	60.0	0.0	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	68.006	23.509	166.017	84.292	89.608	95.739	0.0	79.708	11.761	145.925	0.0	0.092	0.0	0.048	101.646	117.199	242.489	89.975	0.425	76.557	78.2	108.884	51.467	167.524	8.375	39.0	0.0	87.7	113.886	9.469	0.714	58.615	0.504	0.308	83.473	0.283	5.333	88.378	0.0	0.0	0.118	41.701	45.057	237.738
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.0	0.0	1.059	0.924	0.0	0.0	0.0	0.0	39.891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.897	0.113	0.342	0.0	0.0	0.0	0.515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123	0.0	0.0	0.0	0.0	1.708	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0FEAC3352	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.008	0.0	1.708	0.0	0.0	0.0	1.796	0.001	0.072	0.0	0.265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.328	0.0	5.618	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	3.291	0.009	0.002	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.005	0.0	0.013	0.0	0.492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.345	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	10.646	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.003	0.058	0.006	0.0	0.0	0.0	0.002	0.0	0.0	1.333	0.0	0.0	0.0	0.0	9.15	0.0	0.062	0.0	6.385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	3.167
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	12.848	22.211	986.736	418.789	135.486	31.685	0.14	62.85	26.326	5.83	0.96	0.008	0.0	13.413	14.007	7.773	18.068	53.445	0.0	160.55	58.2	32.256	148.267	31.485	0.0	82.0	0.0	0.0	0.0	1.594	113.429	347.25	9.072	0.0	711.236	1.619	5.63	1203.965	0.0	0.077	2.235	426.846	255.193	20.333
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.014	0.01	0.0	0.0	0.065	0.0	0.0	0.0	0.066	10.825	10.832	52.508	204.884	0.0	0.0	0.0	0.463	6.5	0.032	0.0	0.0	0.0	0.0	0.0	56.833	0.0	0.0	0.023	1.844	15.571	0.0	33.149	544.154	0.073	0.009	8.741	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	10.646	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.003	0.058	0.006	0.0	0.0	0.0	0.002	0.0	0.0	1.333	0.0	0.0	0.0	0.0	9.15	0.0	0.062	0.0	6.385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	3.167
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	10.646	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.003	0.058	0.006	0.0	0.0	0.0	0.002	0.0	0.0	1.333	0.0	0.0	0.0	0.0	9.15	0.0	0.062	0.0	6.385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	3.167
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	7.88	1.454	1.563	15.791	1.106	0.859	0.0	133.375	0.065	0.255	0.008	0.0	0.0	1.63	0.506	0.399	0.0	7.359	4.123	29.003	1.3	98.581	3.8	26.85	0.0	0.0	0.0	23.1	6.773	3.188	0.0	0.0	2.2	0.0	22.327	0.894	16.074	17.122	0.0	4.077	0.529	13.95	5.955	18.167
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	7.88	1.454	1.563	15.791	1.106	0.859	0.0	133.375	0.065	0.255	0.008	0.0	0.0	1.63	0.506	0.399	0.0	7.359	4.123	29.003	1.3	98.581	3.8	26.85	0.0	0.0	0.0	23.1	6.773	3.188	0.0	0.0	2.2	0.0	22.327	0.894	16.074	17.122	0.0	4.077	0.529	13.95	5.955	18.167
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.003	0.002	0.118	1.506	0.413	0.628	0.0	0.0	0.151	67.587	38.832	109.186	139.511	0.336	0.521	0.011	0.033	2.509	0.006	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.071	75.135	0.0	0.221	2.593	0.012	0.0	0.0	60.0	0.0	0.0	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.418	0.061	0.002	0.074	0.575	0.0	1.612	0.004	2.196	0.0	25.778	14.794	19.271	42.561	0.008	0.212	0.0	0.004	1.962	0.124	8.5	0.0	0.0	0.0	0.0	9.333	0.0	0.7	0.341	3.0	9.429	0.0	51.674	72.885	0.018	0.009	8.222	0.981	0.0	0.0	2.706	0.025	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.006	0.841	650.473	260.359	0.008	0.0	0.0	389.842	0.087	0.585	0.627	0.015	0.017	0.286	0.071	0.103	5.568	491.303	0.0	303.588	104.6	221.791	0.0	239.936	0.0	0.0	342.0	0.0	0.0	0.031	21.429	0.0	0.019	0.0	310.527	0.327	20.741	0.176	0.0	42.846	0.0	234.622	0.011	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	10.171	8.514	0.513	0.0	7.564	4.489	0.0	0.429	0.0	11.368	0.603	0.008	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.003	0.0	0.0	0.467	0.0	0.0	0.0	0.0	34.4	0.0	0.0	0.0	0.385	0.004	0.0	0.0	0.0	0.0	0.614	0.0	0.0	0.0	0.0	1.182	1.952
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0	0.0	0.0	0.003	0.0	133.315	0.0	19.012	0.0	400.972	0.0	0.008	0.0	0.048	1.686	0.0	0.0	407.924	0.0	0.003	0.0	0.0	0.0	2.974	0.0	0.0	0.0	0.0	99.727	18.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.005	0.006	143.571
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.576	0.234	0.214	0.28	0.533	26.717	11.721	3.479	32.63	15.906	6.317	3.763	5.186	3.603	12.92	6.516	14.489	7.085	31.925	9.233	188.6	13.209	0.0	37.657	28.25	19.5	0.0	0.0	19.25	54.469	14.286	0.0	8.457	15.231	0.091	3.991	87.593	0.002	0.0	10.769	4.176	2.925	0.028	9.595
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	28.449	3.329	0.0	0.0	97.269	0.0	0.0	0.004	7.891	1.113	0.0	0.0	0.0	0.011	13.248	0.548	0.511	0.0	1.481	0.0	0.0	0.0	3.0	0.0	0.125	0.0	0.0	42.6	0.432	25.0	0.0	31.019	0.007	0.0	67.036	1.478	17.111	146.104	0.0	0.0	0.0	0.0	55.818	23.667
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	10.171	8.514	0.513	0.0	7.564	4.489	0.0	0.429	0.0	11.368	0.603	0.008	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.003	0.0	0.0	0.467	0.0	0.0	0.0	0.0	34.4	0.0	0.0	0.0	0.385	0.004	0.0	0.0	0.0	0.0	0.614	0.0	0.0	0.0	0.0	1.182	1.952
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.013	34.965	0.0	0.889	0.0	0.0	0.0	7.712	0.109	0.104	0.0	0.0	0.0	0.0	4.617	11.346	10.193	0.005	0.0	0.139	0.0	0.0	1.2	0.004	0.0	0.0	0.0	81.4	1.136	0.0	0.0	14.5	0.0	0.0	0.018	0.398	0.0	26.927	0.0	0.0	0.0	0.0	12.182	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.0	0.208	13.525	18.925	0.0	17.837	12.341	30.496	2.174	39.057	23.056	12.42	7.051	8.185	19.494	16.399	12.807	24.623	9.104	28.04	1.0	10.837	0.0	39.549	40.625	2.333	256.0	0.0	11.591	9.812	0.0	0.0	1.617	18.096	6.873	0.044	1.667	0.0	0.0	0.0	11.588	5.597	0.04	2.119
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.006	0.0	0.025	0.036	0.0	0.0	0.25	0.0	0.085	0.0	0.0	0.0	0.312	0.161	0.0	0.0	0.0	0.0	0.084	0.0	0.465	0.0	0.172	0.0	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.356	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	33.348	8.844	6.808	0.855	3.694	37.098	0.0	8.221	0.0	28.368	2.46	0.0	0.0	0.0	3.03	0.0	0.0	0.004	0.0	0.738	0.0	0.0	786.333	3.129	0.0	0.0	0.0	8.0	0.0	0.469	0.0	707.077	0.001	8.0	3.345	0.0	0.0	0.0	0.0	0.0	0.0	1.174	15.619	25.238
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.381	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0
FGF6	P10767	False	FGF6_HUMAN		CPI-SS0FA481114	0.0	0.0	0.002	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF3	P11487	False	FGF3_HUMAN		CPI-SS05ECF1933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.935	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	4.673	0.212	0.0	0.0	0.0	0.0	0.0	0.075	0.017	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	257.519	3.439	5.097	9.788	131.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.614	0.278	0.0	0.508	0.0	0.0	9.067	0.0	0.0	0.0	0.0	1179.6	0.0	0.0	0.0	0.0	0.006	0.0	11.345	0.239	0.0	0.002	0.0	0.0	0.0	0.303	25.153	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	10.171	8.514	0.513	0.0	7.564	4.489	0.0	0.429	0.0	11.368	0.603	0.008	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.003	0.0	0.0	0.467	0.0	0.0	0.0	0.0	34.4	0.0	0.0	0.0	0.385	0.004	0.0	0.0	0.0	0.0	0.614	0.0	0.0	0.0	0.0	1.182	1.952
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.013	34.965	0.0	0.889	0.0	0.0	0.0	7.712	0.109	0.104	0.0	0.0	0.0	0.0	4.617	11.346	10.193	0.005	0.0	0.139	0.0	0.0	1.2	0.004	0.0	0.0	0.0	81.4	1.136	0.0	0.0	14.5	0.0	0.0	0.018	0.398	0.0	26.927	0.0	0.0	0.0	0.0	12.182	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.006	0.0	0.025	0.036	0.0	0.0	0.25	0.0	0.085	0.0	0.0	0.0	0.312	0.161	0.0	0.0	0.0	0.0	0.084	0.0	0.465	0.0	0.172	0.0	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.356	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	33.348	8.844	6.808	0.855	3.694	37.098	0.0	8.221	0.0	28.368	2.46	0.0	0.0	0.0	3.03	0.0	0.0	0.004	0.0	0.738	0.0	0.0	786.333	3.129	0.0	0.0	0.0	8.0	0.0	0.469	0.0	707.077	0.001	8.0	3.345	0.0	0.0	0.0	0.0	0.0	0.0	1.174	15.619	25.238
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.381	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0
FGF6	P10767	False	FGF6_HUMAN		CPI-SS014E486AB	0.0	0.0	0.002	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	9.892	6.436	0.0	0.505	18.647	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.733	0.0	0.0	0.0	0.0	26.9	0.0	0.0	0.0	1.346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.119	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	10.171	8.514	0.513	0.0	7.564	4.489	0.0	0.429	0.0	11.368	0.603	0.008	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.003	0.0	0.0	0.467	0.0	0.0	0.0	0.0	34.4	0.0	0.0	0.0	0.385	0.004	0.0	0.0	0.0	0.0	0.614	0.0	0.0	0.0	0.0	1.182	1.952
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.013	34.965	0.0	0.889	0.0	0.0	0.0	7.712	0.109	0.104	0.0	0.0	0.0	0.0	4.617	11.346	10.193	0.005	0.0	0.139	0.0	0.0	1.2	0.004	0.0	0.0	0.0	81.4	1.136	0.0	0.0	14.5	0.0	0.0	0.018	0.398	0.0	26.927	0.0	0.0	0.0	0.0	12.182	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	438.241	19.101	149.986	550.286	577.781	258.467	133.698	297.883	2773.304	42.67	270.865	225.748	220.305	298.233	260.241	21.288	139.943	8.873	247.566	197.454	2020.3	168.581	193.133	74.043	802.5	1608.5	0.0	282.4	1.091	1648.781	216.143	386.538	156.564	1108.962	151.582	7.292	1200.519	82.32	154.0	116.308	125.059	315.677	233.062	74.881
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.006	0.0	0.025	0.036	0.0	0.0	0.25	0.0	0.085	0.0	0.0	0.0	0.312	0.161	0.0	0.0	0.0	0.0	0.084	0.0	0.465	0.0	0.172	0.0	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.356	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	33.348	8.844	6.808	0.855	3.694	37.098	0.0	8.221	0.0	28.368	2.46	0.0	0.0	0.0	3.03	0.0	0.0	0.004	0.0	0.738	0.0	0.0	786.333	3.129	0.0	0.0	0.0	8.0	0.0	0.469	0.0	707.077	0.001	8.0	3.345	0.0	0.0	0.0	0.0	0.0	0.0	1.174	15.619	25.238
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0D67110B0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.381	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0
FGF6	P10767	False	FGF6_HUMAN		CPI-SS08883E9F6	0.0	0.0	0.002	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF3	P11487	False	FGF3_HUMAN		CPI-SS06D341996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
