Hormone,HGNC,MGI,Type,class
Parathyroid hormone receptors,PTH1R,Pth1r,gpcr,peptide
Parathyroid hormone receptors,PTH2R,Pth2r,gpcr,peptide
VIP and PACAP receptors,ADCYAP1R1,Adcyap1r1,gpcr,peptide
VIP and PACAP receptors,VIPR1,Vipr1,gpcr,peptide
VIP and PACAP receptors,VIPR2,Vipr2,gpcr,peptide
Prolactin receptor,PRLR,Prlr,gpcr,peptide
Relaxin family peptide receptors,RXFP1,Rxfp1,gpcr,peptide
Relaxin family peptide receptors,RXFP2,Rxfp2,gpcr,peptide
Relaxin family peptide receptors,RXFP3,Rxfp3,gpcr,peptide
Relaxin family peptide receptors,RXFP4,,gpcr,peptide
Somatostatin receptors,SSTR1,Sstr1,gpcr,peptide
Somatostatin receptors,SSTR2,Sstr2,gpcr,peptide
Somatostatin receptors,SSTR3,Sstr3,gpcr,peptide
Somatostatin receptors,SSTR4,Sstr4,gpcr,peptide
Somatostatin receptors,SSTR5,Sstr5,gpcr,peptide
Thrombopoietin receptor,MPL,Mpl,catalytic_receptor,peptide
Thyrotropin-releasing hormone receptors,TRHR,Trhr,gpcr,peptide
Androgen receptor,AR,Ar,nhr,steroid
Mineralocorticoid receptor,NR3C2,Nr3c2,nhr,steroid
Estrogen receptors,ESR1,Esr1,nhr,steroid
Estrogen receptors,ESR2,Esr2,nhr,steroid
Estrogen-related receptors,ESRRA,Esrra,nhr,steroid
Estrogen-related receptors,ESRRB,Esrrb,nhr,steroid
Estrogen-related receptors,ESRRG,Esrrg,nhr,steroid
Glucocorticoid receptor,NR3C1,Nr3c1,nhr,steroid
Progesterone receptor,PGR,Pgr,nhr,steroid
Vitamin D receptor,VDR,Vdr,nhr,steroid
Retinoic acid receptors,RARA,Rara,nhr,steroid
Retinoic acid receptors,RARB,Rarb,nhr,steroid
 Retinoic acid receptors,RARG,Rarg,nhr,steroid
